year,birth_region_standardized,employment_rate,median_income,self_sufficiency_rate,mv_asylum_count,mv_permits_count,welfare_amount_avg
2013,Africa,,121.5,534228.0,378.0,332.0,
2014,Africa,,129.7,565475.0,378.0,332.0,
2015,Africa,,143.9,605652.0,378.0,332.0,
2016,Africa,,159.1,654348.0,378.0,332.0,
2017,Africa,,171.3,695775.0,378.0,332.0,
2018,Africa,,189.7,749885.0,378.0,332.0,
2019,Africa,,197.9,789430.0,378.0,332.0,
2020,Africa,61.4,199.4,798949.0,378.0,332.0,
2021,Africa,64.15,223.6,844472.0,1482.0,105.0,10023.649267399267
2022,Africa,66.30000000000001,248.6,912520.0,1234.0,153.0,9531.232857142857
2023,Africa,67.2,268.1,948321.0,1356.0,169.0,8851.678215472235
2024,Africa,66.80000000000001,283.5,959890.0,967.0,121.0,9330.24243902439
2025,Africa,,,,814.0,78.0,
2013,Asia,,153.2,534228.0,378.0,332.0,
2014,Asia,,161.5,565475.0,378.0,332.0,
2015,Asia,,171.4,605652.0,378.0,332.0,
2016,Asia,,186.0,654348.0,378.0,332.0,
2017,Asia,,186.5,695775.0,378.0,332.0,
2018,Asia,,199.9,749885.0,378.0,332.0,
2019,Asia,,209.1,789430.0,378.0,332.0,
2020,Asia,61.4,214.9,798949.0,378.0,332.0,
2021,Asia,64.15,238.5,844472.0,4372.0,12224.0,10023.649267399267
2022,Asia,66.30000000000001,268.0,912520.0,5519.0,15760.0,9531.232857142857
2023,Asia,67.2,289.2,948321.0,6675.0,14006.0,8851.678215472235
2024,Asia,66.80000000000001,305.4,959890.0,4054.0,8073.0,9330.24243902439
2025,Asia,,,,3111.0,6797.0,
2013,EU/EFTA (excl. Nordic),,234.7,534228.0,378.0,332.0,
2014,EU/EFTA (excl. Nordic),,242.4,565475.0,378.0,332.0,
2015,EU/EFTA (excl. Nordic),,255.1,605652.0,378.0,332.0,
2016,EU/EFTA (excl. Nordic),,266.9,654348.0,378.0,332.0,
2017,EU/EFTA (excl. Nordic),,280.0,695775.0,378.0,332.0,
