Ekonomiskt bistånd, Utbetalt ekonomiskt bistånd inklusive introduktionsersättning, tusental kronor
Region;Inrikes­ eller utrikesfödda hushåll;Hushållstyp;2021;2022;2023;2024
Riket;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Riket;Inrikes födda;Ensamstående man utan barn;2251507;2131855;2197990;2379607
Riket;Inrikes födda;Ensamstående man med barn;145778;123528;117499;123285
Riket;Inrikes födda;Ensamstående kvinna utan barn;1304232;1250306;1287106;1418575
Riket;Inrikes födda;Ensamstående kvinna med barn;491975;449277;439595;467295
Riket;Inrikes födda;Sammanboende par utan barn;72361;63128;64074;72206
Riket;Inrikes födda;Sammanboende par med barn;75017;65773;59963;64478
Riket;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Riket;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;1840082;1533984;1430699;1491237
Riket;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;176771;154753;134908;128505
Riket;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;1561941;1526821;1545560;1659570
Riket;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;1345149;1255846;1154422;1192511
Riket;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;20543;18717;16056;17960
Riket;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;45123;37309;29973;29704
Riket;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Riket;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Riket;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Riket;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Riket;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Riket;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;492667;473107;446195;457088
Riket;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;1818186;1676578;1461343;1412376
Riket;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;2312;1198;1405;1409
Riket;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Riket;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Riket;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Riket;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Riket;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Riket;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Stockholms län;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Stockholms län;Inrikes födda;Ensamstående man utan barn;405129;383945;390448;422417
Stockholms län;Inrikes födda;Ensamstående man med barn;25166;19901;18424;18993
Stockholms län;Inrikes födda;Ensamstående kvinna utan barn;239714;230337;229862;253031
Stockholms län;Inrikes födda;Ensamstående kvinna med barn;77090;70683;67034;77687
Stockholms län;Inrikes födda;Sammanboende par utan barn;7472;7696;6970;8427
Stockholms län;Inrikes födda;Sammanboende par med barn;6907;6325;5694;5647
Stockholms län;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Stockholms län;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;385365;333312;311419;335557
Stockholms län;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;33630;32826;29061;27949
Stockholms län;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;357005;346021;341744;363559
Stockholms län;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;255136;229885;212147;221194
Stockholms län;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;4197;4141;3606;3682
Stockholms län;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;6412;5107;4450;4030
Stockholms län;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Stockholms län;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Stockholms län;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Stockholms län;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Stockholms län;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Stockholms län;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;77415;75562;66338;69880
Stockholms län;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;241087;219839;192627;188233
Stockholms län;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;29;42;40;74
Stockholms län;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Stockholms län;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Stockholms län;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Stockholms län;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Stockholms län;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Stockholms län;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Upplands Väsby;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Upplands Väsby;Inrikes födda;Ensamstående man utan barn;6139;6269;6537;6893
Upplands Väsby;Inrikes födda;Ensamstående man med barn;2;44;72;85
Upplands Väsby;Inrikes födda;Ensamstående kvinna utan barn;2630;2194;2140;2682
Upplands Väsby;Inrikes födda;Ensamstående kvinna med barn;1172;1131;1126;1461
Upplands Väsby;Inrikes födda;Sammanboende par utan barn;104;246;445;576
Upplands Väsby;Inrikes födda;Sammanboende par med barn;6;88;283;259
Upplands Väsby;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Upplands Väsby;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;5866;4676;4739;4637
Upplands Väsby;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;161;140;138;237
Upplands Väsby;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;6084;5453;5013;5665
Upplands Väsby;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;4658;4525;4478;4306
Upplands Väsby;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;­­;25;127;95
Upplands Väsby;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;175;168;58;26
Upplands Väsby;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Upplands Väsby;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Upplands Väsby;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Upplands Väsby;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Upplands Väsby;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Upplands Väsby;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;1635;1355;902;839
Upplands Väsby;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;2789;4265;2704;3106
Upplands Väsby;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Upplands Väsby;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Upplands Väsby;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Upplands Väsby;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Upplands Väsby;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Upplands Väsby;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Upplands Väsby;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Vallentuna;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Vallentuna;Inrikes födda;Ensamstående man utan barn;3559;2604;2767;3101
Vallentuna;Inrikes födda;Ensamstående man med barn;87;­­;119;120
Vallentuna;Inrikes födda;Ensamstående kvinna utan barn;2255;1902;1723;2331
Vallentuna;Inrikes födda;Ensamstående kvinna med barn;1313;1246;1563;1732
Vallentuna;Inrikes födda;Sammanboende par utan barn;­­;­­;66;174
Vallentuna;Inrikes födda;Sammanboende par med barn;­­;53;1;­­
Vallentuna;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Vallentuna;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;2805;2590;2146;1578
Vallentuna;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;48;174;144;64
Vallentuna;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;2515;2026;2381;2693
Vallentuna;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;2684;2252;2358;1780
Vallentuna;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;­­;­­;7;74
Vallentuna;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;­­;­­;58;108
Vallentuna;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Vallentuna;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Vallentuna;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Vallentuna;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Vallentuna;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Vallentuna;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;733;1107;1104;1308
Vallentuna;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;5014;3684;3204;1836
Vallentuna;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Vallentuna;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Vallentuna;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Vallentuna;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Vallentuna;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Vallentuna;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Vallentuna;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Österåker;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Österåker;Inrikes födda;Ensamstående man utan barn;4535;4294;4881;6240
Österåker;Inrikes födda;Ensamstående man med barn;244;­­;49;63
Österåker;Inrikes födda;Ensamstående kvinna utan barn;2067;1964;1819;1966
Österåker;Inrikes födda;Ensamstående kvinna med barn;682;641;830;1468
Österåker;Inrikes födda;Sammanboende par utan barn;­­;115;184;218
Österåker;Inrikes födda;Sammanboende par med barn;68;29;2;­­
Österåker;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Österåker;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;3011;2772;2355;2831
Österåker;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;43;­­;­­;­­
Österåker;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;1893;2343;2616;2740
Österåker;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;3882;3018;2658;2698
Österåker;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;96;17;­­;5
Österåker;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;­­;­­;­­;­­
Österåker;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Österåker;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Österåker;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Österåker;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Österåker;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Österåker;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;279;180;202;207
Österåker;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;4072;4525;2147;1747
Österåker;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Österåker;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Österåker;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Österåker;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Österåker;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Österåker;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Österåker;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Värmdö;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Värmdö;Inrikes födda;Ensamstående man utan barn;9234;7492;6960;6368
Värmdö;Inrikes födda;Ensamstående man med barn;445;251;111;168
Värmdö;Inrikes födda;Ensamstående kvinna utan barn;4816;3480;2487;3530
Värmdö;Inrikes födda;Ensamstående kvinna med barn;881;865;961;921
Värmdö;Inrikes födda;Sammanboende par utan barn;54;1;68;132
Värmdö;Inrikes födda;Sammanboende par med barn;63;200;188;229
Värmdö;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Värmdö;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;3623;3072;1825;1817
Värmdö;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;350;326;211;129
Värmdö;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;5621;5443;4823;4610
Värmdö;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;3928;3293;3142;2464
Värmdö;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;­­;73;16;­­
Värmdö;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;238;­­;11;108
Värmdö;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Värmdö;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Värmdö;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Värmdö;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Värmdö;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Värmdö;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;504;750;552;793
Värmdö;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;2025;1526;1569;1673
Värmdö;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Värmdö;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Värmdö;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Värmdö;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Värmdö;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Värmdö;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Värmdö;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Järfälla;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Järfälla;Inrikes födda;Ensamstående man utan barn;13251;12852;12997;13723
Järfälla;Inrikes födda;Ensamstående man med barn;339;512;250;223
Järfälla;Inrikes födda;Ensamstående kvinna utan barn;7448;6995;6837;7368
Järfälla;Inrikes födda;Ensamstående kvinna med barn;3208;3413;3072;3522
Järfälla;Inrikes födda;Sammanboende par utan barn;7;105;149;135
Järfälla;Inrikes födda;Sammanboende par med barn;305;265;214;51
Järfälla;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Järfälla;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;11973;12062;9371;10454
Järfälla;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;1028;647;771;675
Järfälla;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;13540;12811;12321;13619
Järfälla;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;11107;11363;10187;9789
Järfälla;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;107;24;­­;2
Järfälla;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;172;506;229;185
Järfälla;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Järfälla;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Järfälla;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Järfälla;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Järfälla;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Järfälla;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;1379;2408;2341;1652
Järfälla;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;7843;6512;5530;3994
Järfälla;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Järfälla;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Järfälla;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Järfälla;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Järfälla;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Järfälla;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Järfälla;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Ekerö;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Ekerö;Inrikes födda;Ensamstående man utan barn;4600;5160;5099;5826
Ekerö;Inrikes födda;Ensamstående man med barn;367;398;454;423
Ekerö;Inrikes födda;Ensamstående kvinna utan barn;2772;2509;2035;1824
Ekerö;Inrikes födda;Ensamstående kvinna med barn;1503;1142;1250;1476
Ekerö;Inrikes födda;Sammanboende par utan barn;160;290;294;268
Ekerö;Inrikes födda;Sammanboende par med barn;177;138;233;98
Ekerö;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Ekerö;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;2106;1924;1856;1795
Ekerö;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;527;897;552;103
Ekerö;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;2398;2909;2965;2485
Ekerö;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;4135;4821;4495;3361
Ekerö;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;­­;149;20;­­
Ekerö;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;357;422;162;­­
Ekerö;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Ekerö;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Ekerö;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Ekerö;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Ekerö;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Ekerö;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;534;893;986;935
Ekerö;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;6927;7219;7774;6868
Ekerö;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Ekerö;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Ekerö;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Ekerö;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Ekerö;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Ekerö;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Ekerö;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Huddinge;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Huddinge;Inrikes födda;Ensamstående man utan barn;13772;12815;12408;13522
Huddinge;Inrikes födda;Ensamstående man med barn;399;234;49;84
Huddinge;Inrikes födda;Ensamstående kvinna utan barn;9718;8420;7977;8472
Huddinge;Inrikes födda;Ensamstående kvinna med barn;2459;2034;1196;1558
Huddinge;Inrikes födda;Sammanboende par utan barn;184;218;82;365
Huddinge;Inrikes födda;Sammanboende par med barn;86;37;107;39
Huddinge;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Huddinge;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;12872;10479;8580;8987
Huddinge;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;1684;659;309;912
Huddinge;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;10922;10868;10686;11250
Huddinge;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;6753;7144;5327;5140
Huddinge;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;2;18;197;46
Huddinge;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;371;22;155;13
Huddinge;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Huddinge;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Huddinge;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Huddinge;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Huddinge;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Huddinge;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;2614;2354;2241;2521
Huddinge;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;6896;5441;5193;5864
Huddinge;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;3;12
Huddinge;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Huddinge;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Huddinge;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Huddinge;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Huddinge;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Huddinge;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Botkyrka;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Botkyrka;Inrikes födda;Ensamstående man utan barn;18439;17712;15484;16595
Botkyrka;Inrikes födda;Ensamstående man med barn;810;478;561;395
Botkyrka;Inrikes födda;Ensamstående kvinna utan barn;12430;13721;12129;12473
Botkyrka;Inrikes födda;Ensamstående kvinna med barn;5700;4485;3067;2780
Botkyrka;Inrikes födda;Sammanboende par utan barn;104;8;41;324
Botkyrka;Inrikes födda;Sammanboende par med barn;446;444;410;523
Botkyrka;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Botkyrka;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;26641;24133;21726;22392
Botkyrka;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;2542;1449;1135;1126
Botkyrka;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;24778;21724;20932;21207
Botkyrka;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;18632;18865;14908;15346
Botkyrka;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;212;329;408;137
Botkyrka;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;448;300;187;339
Botkyrka;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Botkyrka;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Botkyrka;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Botkyrka;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Botkyrka;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Botkyrka;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;5357;4653;4068;4565
Botkyrka;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;14073;12252;11244;10921
Botkyrka;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;7;­­;­­;­­
Botkyrka;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Botkyrka;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Botkyrka;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Botkyrka;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Botkyrka;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Botkyrka;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Salem;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Salem;Inrikes födda;Ensamstående man utan barn;1959;1920;1965;2092
Salem;Inrikes födda;Ensamstående man med barn;438;­­;71;48
Salem;Inrikes födda;Ensamstående kvinna utan barn;1633;1978;1581;2034
Salem;Inrikes födda;Ensamstående kvinna med barn;791;­­;543;686
