Ekonomiskt bistånd, Antal biståndsmottagare 18 år och äldre, Ålder: 18-65+
Region;Kön;2021;2022;2023;2024
Riket;Män;116293;100795;90416;88013
Riket;Kvinnor;106919;96887;86727;86003
Riket;Båda könen;223212;197682;177145;174016
Stockholms län;Män;18030;15813;14350;14346
Stockholms län;Kvinnor;16915;15284;13788;14034
Stockholms län;Båda könen;34945;31097;28139;28380
Upplands Väsby;Män;356;311;298;273
Upplands Väsby;Kvinnor;350;308;293;277
Upplands Väsby;Båda könen;706;619;591;550
Vallentuna;Män;174;140;130;134
Vallentuna;Kvinnor;173;154;145;161
Vallentuna;Båda könen;347;294;275;295
Österåker;Män;209;183;170;165
Österåker;Kvinnor;201;161;147;166
Österåker;Båda könen;410;344;317;331
Värmdö;Män;334;261;206;210
Värmdö;Kvinnor;298;265;212;215
Värmdö;Båda könen;632;526;418;425
Järfälla;Män;695;662;577;560
Järfälla;Kvinnor;744;696;589;595
Järfälla;Båda könen;1439;1358;1166;1155
Ekerö;Män;206;212;203;199
Ekerö;Kvinnor;247;240;220;200
Ekerö;Båda könen;453;452;423;399
Huddinge;Män;744;597;553;539
Huddinge;Kvinnor;674;599;545;560
Huddinge;Båda könen;1418;1196;1099;1099
Botkyrka;Män;1063;921;738;713
Botkyrka;Kvinnor;1127;971;875;792
Botkyrka;Båda könen;2190;1892;1613;1505
Salem;Män;117;75;71;78
Salem;Kvinnor;117;92;93;84
Salem;Båda könen;234;167;164;162
Haninge;Män;982;865;765;858
Haninge;Kvinnor;869;800;700;786
Haninge;Båda könen;1851;1665;1465;1644
Tyresö;Män;266;245;227;269
Tyresö;Kvinnor;249;253;197;252
Tyresö;Båda könen;515;498;424;521
Upplands­Bro;Män;280;246;236;236
Upplands­Bro;Kvinnor;328;276;256;262
Upplands­Bro;Båda könen;608;522;492;498
Nykvarn;Män;80;81;83;100
Nykvarn;Kvinnor;75;82;96;109
Nykvarn;Båda könen;155;163;179;209
Täby;Män;317;272;206;218
Täby;Kvinnor;217;212;162;147
Täby;Båda könen;534;484;368;365
Danderyd;Män;117;114;124;95
Danderyd;Kvinnor;91;99;92;87
Danderyd;Båda könen;208;213;216;182
Sollentuna;Män;465;374;352;380
Sollentuna;Kvinnor;454;393;356;368
Sollentuna;Båda könen;919;767;708;748
Stockholm;Män;8498;7543;6982;7029
Stockholm;Kvinnor;7435;6777;6260;6438
Stockholm;Båda könen;15933;14320;13242;13467
Södertälje;Män;1047;897;871;881
Södertälje;Kvinnor;1259;1119;1019;970
Södertälje;Båda könen;2306;2016;1890;1851
Nacka;Män;520;406;339;313
Nacka;Kvinnor;521;397;322;305
Nacka;Båda könen;1041;803;661;618
Sundbyberg;Män;370;292;269;255
Sundbyberg;Kvinnor;401;350;284;288
Sundbyberg;Båda könen;771;642;553;543
Solna;Män;209;161;145;153
Solna;Kvinnor;218;153;122;151
Solna;Båda könen;427;314;267;304
Lidingö;Män;129;111;79;84
Lidingö;Kvinnor;147;135;114;104
